STATION,NAME,DATE,PRCP
IN020040900,"MADRAS MINAMBAKKAM, IN",9/12/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",9/13/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",9/14/1991,0.01
IN020040900,"MADRAS MINAMBAKKAM, IN",9/15/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",9/16/1991,0.03
IN020040900,"MADRAS MINAMBAKKAM, IN",9/17/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",9/18/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",9/19/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",9/20/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",9/21/1991,0.04
IN020040900,"MADRAS MINAMBAKKAM, IN",9/22/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",9/23/1991,0.65
IN020040900,"MADRAS MINAMBAKKAM, IN",9/24/1991,1.43
IN020040900,"MADRAS MINAMBAKKAM, IN",9/25/1991,0.58
IN020040900,"MADRAS MINAMBAKKAM, IN",9/26/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",9/27/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",9/28/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",9/29/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",9/30/1991,0.03
IN020040900,"MADRAS MINAMBAKKAM, IN",10/1/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/2/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",10/3/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",10/4/1991,0.04
IN020040900,"MADRAS MINAMBAKKAM, IN",10/5/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/6/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",10/7/1991,0.01
IN020040900,"MADRAS MINAMBAKKAM, IN",10/8/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/9/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",10/10/1991,0.18
IN020040900,"MADRAS MINAMBAKKAM, IN",10/11/1991,0.01
IN020040900,"MADRAS MINAMBAKKAM, IN",10/12/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/13/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/14/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/15/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/16/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/17/1991,0.02
IN020040900,"MADRAS MINAMBAKKAM, IN",10/18/1991,1.89
IN020040900,"MADRAS MINAMBAKKAM, IN",10/19/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/20/1991,0.04
IN020040900,"MADRAS MINAMBAKKAM, IN",10/21/1991,0.06
IN020040900,"MADRAS MINAMBAKKAM, IN",10/22/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/23/1991,0.01
IN020040900,"MADRAS MINAMBAKKAM, IN",10/24/1991,0.01
IN020040900,"MADRAS MINAMBAKKAM, IN",10/25/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/26/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",10/27/1991,0.35
IN020040900,"MADRAS MINAMBAKKAM, IN",10/28/1991,1.65
IN020040900,"MADRAS MINAMBAKKAM, IN",10/29/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",10/30/1991,0.2
IN020040900,"MADRAS MINAMBAKKAM, IN",10/31/1991,0.05
IN020040900,"MADRAS MINAMBAKKAM, IN",11/1/1991,0.07
IN020040900,"MADRAS MINAMBAKKAM, IN",11/2/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/3/1991,0.14
IN020040900,"MADRAS MINAMBAKKAM, IN",11/4/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/5/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/6/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/7/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",11/8/1991,
IN020040900,"MADRAS MINAMBAKKAM, IN",11/9/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/10/1991,0.01
IN020040900,"MADRAS MINAMBAKKAM, IN",11/11/1991,0.14
IN020040900,"MADRAS MINAMBAKKAM, IN",11/12/1991,0.31
IN020040900,"MADRAS MINAMBAKKAM, IN",11/13/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/14/1991,7.75
IN020040900,"MADRAS MINAMBAKKAM, IN",11/15/1991,0
IN020040900,"MADRAS MINAMBAKKAM, IN",11/16/1991,2.67
IN020040900,"MADRAS MINAMBAKKAM, IN",11/17/1991,3.64
IN020040900,"MADRAS MINAMBAKKAM, IN",11/18/1991,0.18
IN020040900,"MADRAS MINAMBAKKAM, IN",11/19/1991,0.05
IN020040900,"MADRAS MINAMBAKKAM, IN",11/20/1991,0.02
IN020040900,"MADRAS MINAMBAKKAM, IN",11/21/1991,0.03
IN020040900,"MADRAS MINAMBAKKAM, IN",11/22/1991,0.34
