STATION,NAME,DATE,PRCP,MONTH,YEAR
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-02,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-03,0.22,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-04,0.33,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-05,0.01,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-06,5.11,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-07,0.15,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-08,0.02,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-09,0.03,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-10,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-11,0.07,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-12,0.02,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-13,0.02,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-14,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-16,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-17,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-18,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-19,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-21,0.04,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-22,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-23,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-24,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-25,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-26,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-28,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-29,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-30,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-07-31,0.0,7,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-01,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-02,0.04,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-03,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-04,0.53,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-05,1.62,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-06,0.85,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-07,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-08,0.59,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-09,0.03,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-10,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-11,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-13,0.43,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-14,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-16,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-18,0.08,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-19,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-20,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-22,0.01,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-23,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-25,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-26,0.13,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-27,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-28,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-30,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-08-31,0.0,8,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-01,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-02,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-04,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-05,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-07,1.91,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-08,0.01,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-09,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-10,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-11,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-12,0.0,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-14,0.01,9,1991
IN020040900,"MADRAS MINAMBAKKAM, IN",1991-09-15,0.0,9,1991
