"STATION","NAME","DATE","PRCP"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-27",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-29","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-30","1.10"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-10-31","0.59"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-01","1.18"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-02","1.61"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-03","1.69"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-04","0.71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-05","0.04"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-06","1.34"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-07","4.49"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-08","2.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-09","1.46"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-10","0.71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-11","5.59"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-12","1.85"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-13","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-15","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-16","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-17","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-18","0.71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-19","2.13"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-20","0.83"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-21","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-22","0.16"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-23","0.35"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-24","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-25","0.43"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-26","2.83"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-27","3.74"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-28","0.98"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-29","2.76"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-11-30","0.79"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-01","0.12"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-02","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-03",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-05",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-06",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-07",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-08",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-09",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-10",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-11","0.24"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-12","0.59"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-13","0.83"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-14","0.01"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-15","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-17",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-18",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-19",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-24",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-25",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-26",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-27",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-28",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-29",
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-30","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2021-12-31","5.87"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-01","0.75"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-02","0.08"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-03","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-04",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-05",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-06",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-07",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-08",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-09","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-10",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-11",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-12",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-13",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-14",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-15",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-16",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-17","0.24"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-18","0.28"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-19","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-20",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-21",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-22",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-23",
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-24","0.71"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-25","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-26","0.02"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-27","0.00"
"IN020040900","MADRAS MINAMBAKKAM, IN","2022-01-28","0.00"
